name,number,county,counties_listed,grant_size,grant_year,governor,location,persons,locations,dates,organizations,grantors,patent_holders,coordinates,patent_acres,patent_year,patent_recipients,alternative_names,geographical_references
SAN YSIDRO (Ortega),#229,SANTA CLARA COUNTY,Santa Clara,"2
   sq. leagues",,Arrillaga; Figueroa,,Quintin Ortega; Ignacio Ortega,,1868; 1810; 1833,Santa Clara Co.,Arrillaga; Figueroa,,,,,,,
SHOQUEL AUGMENTATION,#201,SANTA CLARA COUNTY,SANTA CLARA COUNTY,,1844,Micheltorena,T 10S,Martina Castro,Santa; Santa Cruz; Micheltorena,1860; 1844,"Shoquel
   Rancho; Paia de Yesca",Micheltorena,,T 10S,,,,,
SOLIS,#225,SANTA CLARA COUNTY,SANTA CLARA COUNTY,2 sq. leagues,,Victoria,T 10S,Mariano Castro; Rufino Castro,,1831; 1859,Santa Clara Co.,Victoria,,T 10S,,,,,
LOS TULARCITOS (Higuera),#137,SANTA CLARA COUNTY,Santa Clara,2 sq. leagues,,de; Alvarado,"T 5-6S, R IE, MDM",Jose Higuera; Higuera; Jose,,1870; 1821; 1839,Santa Clara Co.,de; Alvarado,Higuera; Jose,"T 5-6S, R IE, MDM",4.394.35,1870,"heirs of Jose
   Higuera",,
ULISTAC,#143,SANTA CLARA COUNTY,Santa Clara,14 sq. league,1845,Pico,"T 6S, R
   1W, MDM, due north of Mission Santa Clara",Jacob D. Hoppe,Mission Santa Clara,1868; 1845,Cristoval; Santa Clara Co.; Marcelo,Pico,,"T 6S, R
   1W, MDM, due north of Mission Santa Clara",,,,,
LAS UVAS,#200,SANTA CLARA COUNTY,Santa Clara,3 sq. leagues,1842,Alvarado,"T 9-1 OS, R 2-3E, MDM","Lorenzo Pineda; Martin J. C.
   ",,1860; 1842,Santa Clara Co.,Alvarado,,"T 9-1 OS, R 2-3E, MDM",11079.93,1860,Martin J,,
YERBA BUENA,#183,SANTA CLARA COUNTY,Santa Clara,"6 sq.
   leagues",1833,Figueroa,"T 7-8S, R 1-3E,
   MDM","Buena; Antonio
   ; Antonio Chaboya; Chabolla",Yerba; Socayre,1859; 1833,Chaboya; Santa Clara Co.,Figueroa,,"T 7-8S, R 1-3E,
   MDM",,,,Yerba Buena or Socayre,
AGUA PUERCA Y LAS TRANCAS,#206,SANTA CRUZ COUNTY,Santa Cruz,1 sq. league,1843,Micheltorena,T 10S,"Ramon
  Rodriguez; Ramon Rodriguez",Santa Cruz,1843; 1861,,Micheltorena,"Ramon
  Rodriguez",T 10S,4421.52,1861,"Ramon
  Rodriguez and Francisco Alviso",,
APTOS,#216,SANTA CRUZ COUNTY,Santa Cruz,1 sq. league,,Figueroa,T 1 IS,Rafael Castro,,1860; 1833,Santa Cruz Co.,Figueroa,,T 1 IS,,,,,
ARROYO DE LA LAGUNA,#540,SANTA CRUZ COUNTY,Santa Cruz,,1839,Alvarado,"T 10-1 IS, R 3W, MDM","Squire Williams; Grant
  ; Gil
  Sanchez",,1881; 1839,Santa Cruz Co.,Alvarado,,"T 10-1 IS, R 3W, MDM",,,,,
ARROYO DE RODEO,#214,SANTA CRUZ COUNTY,Santa Cruz,"1
  sq. league",1834,Figueroa,"T 11S, R 1W,
  MDM","Francisco
  Rodriguez; Juan Daubenbiss",San Vicente; Los Coyotes,1882; 1834; 1886,"Surveyor
  General; Santa Cruz Co.",Figueroa,,"T 11S, R 1W,
  MDM",,,,"San Vicente, and as Los Coyotes",
BOLSA DEL PAJARO,#220,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,"2
   sq. leagues",,Arguello; Alvarado,T 11-12S,"Sebastian
   Rodriguez; Sebastian Rodriguez",,1837; 1860; 1823,Santa Cruz Co.,Arguello; Alvarado,"Sebastian
   Rodriguez",T 11-12S,5496.50,1860,"Sebastian
   Rodriguez",,
"CANADA DEL RINCON EN EL RIO DE SAN
   LORENZO DE SANTA CRUZ",#208,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,2 sq. leagues,1843,Micheltorena,T 10S,Pedro Sansevain,San Lorenzo; Santa Cruz; Micheltorena,1843; 1858,Santa Cruz Co.,Micheltorena,,T 10S,,,,,
LA CARBONERA,#209,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,,1838,Alvarado,T 10-1 IS,William Bacle,,1873; 1838,Santa Cruz Co.; Buckle,Alvarado,William Bacle,T 10-1 IS,2.224.79,1873,"William Bacle
   (or Buckle)",,
LOS CORRALITOS,#218,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,"4 sq.
   leagues",1844,Micheltorena,T 1 IS,"Jose Amesti; Jose
   Amesti",Amesti,1827; 1844; May; 1861,Prudenciana Amesti; Celedonia; Santa Cruz Co.,Micheltorena,,T 1 IS,,,,,
LAGUNA DE LAS CALABASAS,#217,SANTA CRUZ COUNTY,Santa Cruz,,1833,Figueroa,T 1 IS,Francisco Hernandez,,1834; 1868; 1833,"Grant of; Santa Cruz Co.; Felipe Hernandez; Territorial
   Diputacion",Figueroa,,T 1 IS,,,,,
MESA DE OJO DE AGUA,#212,SANTA CRUZ COUNTY,Santa Cruz,,,,"T 1 IS, R 2W, MDM",T. W. Russell,,,Santa Cruz Co.,,,"T 1 IS, R 2W, MDM",,,,"Russell
   Tract",
MISION SANTA CRUZ (Church property),#210,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,,,,T 11S,"Fermin Francisco de
  Lasuen",Monterey,1859; 1791,"Bishop; Santa
  Cruz Co. Mission",,,T 11S,,,,,
"POTRERO Y RINCON DE SAN PEDRO DE
  REGLADO",#213,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,,,Alvarado,T 1 IS,Jose Arana; Russell Tract; T. W. Russell,,1842,Santa Cruz Co.,Alvarado,,T 1 IS,,,,Russell Tract,
REFUGIO,#207,SANTA CRUZ COUNTY,Santa Cruz,3 sq. leagues,,Alvarado,T 10-1 IS,Juan Bolcoff; Maria de Los Angeles Castro; Jose Bolcoff; Candida Castro; Francisco; Jose,,1860; 1841; 1839,Santa Cruz Co.,Alvarado,,T 10-1 IS,,,,,
SALSIPUEDES,#223,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,,,Alvarado; Figueroa,"T 10-11S, R 2-3 W, MDM","Manuel Jimeno
  ; Grant
  ; James Blair",Santa Cruz; Santa Clara,1834; 1861; 10-11S; 1840,,Alvarado; Figueroa,,"T 10-11S, R 2-3 W, MDM",,,,,
SAN ANDRES,#219,SANTA CRUZ COUNTY,Santa Cruz,"2 sq.
  leagues",1833; 1841,Alvarado; Figueroa,"T 11-
  12S, R1E, MDM","Grant
  ; Joaquin; Joaquin
  Castro; Joseph L. Majors; Guadalupe Castro; Joseph
  L. Majors",San Agustin,1876; 1866; 1833; 1841,Santa Cruz Co.,Alvarado; Figueroa,,"T 11-
  12S, R1E, MDM",,,,,
SAN VICENTE (Escamilla),#204,SANTA CRUZ COUNTY,Santa Cruz,2 sq. leagues,1846,Pico,"T 10S, R 3W, MDM","Blas A.
  Escamilla; Blas A. Escamilla",,1846; 1870,Santa Cruz Co.,Pico,,"T 10S, R 3W, MDM",,,,,
SHOQUEL,#215,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,4 sq. leagues,1833,Figueroa,,Sanjon; Martina Castro; Shoquel River; Martina de Castro,,11S; 1860; 1834; 1833,"Paia
   de Yesca; Santa Cruz Co.; de las Borregas",Figueroa,,,,,,"Paia
   de Yesca",
SHOQUEL AUGMENTATION,#201,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,,1844,Micheltorena,T 10S,Shoquel; Martina Castro,"Santa
   ; Santa Cruz; Micheltorena",1860; 1844,,Micheltorena,,T 10S,,,,,
TRES OJOS DE AGUA,#211,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,,1844,Micheltorena,"T 1 IS, R 2W",Nicholas Dodero,,1844; 1866,Santa Cruz Co.,Micheltorena,,"T 1 IS, R 2W",,,,,
ZAYANTA,#203,SANTA CRUZ COUNTY,SANTA CRUZ COUNTY,1 sq. league,,Alvarado; Figueroa,T 1 OS,Joaquin Buelna; Isaac Graham et al; Juan Jose,,1835; 1870; 1841,Santa Cruz Co.; Crisastome Majors,Alvarado; Figueroa,,T 1 OS,,,,,
SAN BUENAVENTURA,#1,SHASTA COUNTY,SHASTA COUNTY,,1844,Micheltorena,T 30-32N,"Grant
  ; Shasta; Pearson B. Reading; Tehama; Lodo Creek",Sanyas Island,1844; 1857,,Micheltorena,,T 30-32N,,,,,
LOS PUTOS,#88,SOLANO COUNTY,SOLANO COUNTY,10 sq. leagues,1845,Pico,"T 6-
  8N",Juan Manuel Vaca; Juan Felipe Pena; Manuel Cabez Vaca,,1858; 1845,Solano Co.,Pico,,"T 6-
  8N",,,,,
RIO DE LOS PUTOS,#87,SOLANO COUNTY,SOLANO COUNTY,"4
  sq. leagues",,Alvarado,"T 8N, R
  1W-1E","William Wolfskill; William
  Wolfskill; Francisco Guerrero; Yolo",Putah Creek,1842; 1858; 1841; 1839,,Alvarado,,"T 8N, R
  1W-1E",,,,,
SUISUN (Fine),#91,SOLANO COUNTY,SOLANO COUNTY,,1842,,"T 5N, R 2W, MDM",Alvarado; Francisco Solano; Suisun,,1882; 1842,-B. Solano Co.,,,"T 5N, R 2W, MDM",,,,,
SUISUN (Ritchie),#91-A,SOLANO COUNTY,Solano,,1842,,"T 5N, R
  2W, MDM",Alvarado; Archibald A. Ritchie; Francisco Solano,,1842; 1857,Solano Co. Grant,,,"T 5N, R
  2W, MDM",,,,,
TOLENAS,#90,SOLANO COUNTY,SOLANO COUNTY,3 sq. leagues,1840,Alvarado,,"Antonio Marla Armijo; Solano; Jose Francisco
  Armijo; Dolores Riesgo",,1840; 1868,Armijo Grant,Alvarado,,,,,,Armijo Grant,
LOS ULPINOS,#92,SOLANO COUNTY,Solano,4 sq. leagues,1844,Micheltorena,T 3-4N,John Bidwell,,1844; 1866,Solano Co. Grant; Bidwell,Micheltorena,John Bidwell,T 3-4N,17.726.44,1866,John Bidwell,"the Bidwell
   Grant",
AGUA CALIENTE (five parts),#67,SONOMA COUNTY,SONOMA COUNTY,11 sq. leagues,1840,Pico; Alvarado,"T 5-6N, R 6W","T. M. Leavenworth; C. P.
  Stone; M. G. Vallejo; Joseph Hocker; Lasaro
  Pina",,1880; 1866; 1840; 1870; 1845,Sonoma Co.,Pico; Alvarado,,"T 5-6N, R 6W",,,,,
BLUCHER,#19,SONOMA COUNTY,SONOMA COUNTY,,1844,Micheltorena,"T 5-
  6N, R8-10W, MDM","Jean Vioget; Manuela T.
  Curtis; Stephen Smith",Sonoma,1844; 1858,,Micheltorena,,"T 5-
  6N, R8-10W, MDM",26759.42,1858,Manuela T,,
BODEGA,#27,SONOMA COUNTY,Sonoma,5 sq. leagues,,Micheltorena,T 5-7N,Manuela T. Curtis; Stephen Smith,,1844; 1859,Sonoma Co.,Micheltorena,,T 5-7N,,,,,
CABESA DE SANTA ROSA,#63,SONOMA COUNTY,Sonoma,"2
  sq. leagues",1841,Alvarado,,"Julio Carrillo; F. Carrillo de Castro; John Hendley; Joaquin Carrillo; Maria
  Ignacia Lopez",Jas,1880; 1866; 1881; 1879; 1841,J. de J. Mallagh; Sonoma Co.; J. R. Meyer,Alvarado,,,,,,,
CANADA DE JONIVE,#52,SONOMA COUNTY,SONOMA COUNTY,,1845,Pico,"T 6-
  7N",James Black; Jasper O'Farrell,,1846; 1858; 1845,Departmental Assembly; Sonoma Co.; Annaly Ranch,Pico,,"T 6-
  7N",,,,Annaly Ranch,
CANADA DE POGOLIME,#51,SONOMA COUNTY,SONOMA COUNTY,"2
  sq. leagues",1844,Micheltorena,"T 5-
  6N, R9-10W, MDM","Maria
  Antonia; James Dawson",,1858; 1844; 1843; 1845,Departmental Assembly; Sonoma Co.; Maria Antonia Cazares,Micheltorena,,"T 5-
  6N, R9-10W, MDM",,,,,
CASALAMAYOMI,#57,SONOMA COUNTY,SONOMA COUNTY,"8 sq.
  leagues",1844,Micheltorena,T 10-1 IN,"Eugenio
  Montenegro",,1844; 1874,Laguna de los Gentiles; Sonoma Co.,Micheltorena,,T 10-1 IN,,,,,
COTATE,#65,SONOMA COUNTY,Sonoma,4 sq. leagues,,Micheltorena,T 5-6N,Juan Castaneda; Thos; S. Page,,1844; 1846; 1858,Sonoma Co.,Micheltorena,,T 5-6N,,,,,
ESTERO AMERICANO,#28,SONOMA COUNTY,Sonoma,"2 sq.
  leagues",1839,Pro,"T 5-6N, R 10W","Manuel Jimeno
  ; Farrell; Edward McIntosh",,1840; 1858; 1839,Sonoma Co.; Jasper O,Pro,,"T 5-6N, R 10W",,,,,
GERMAN,#25,SONOMA COUNTY,Sonoma,5 sq. leagues,,Pico,"T 8-1 IN, R 7-
  8E, MDM",Charles Meyer,Ernest Rufus,1846; 1872,Sonoma Co.,Pico,,"T 8-1 IN, R 7-
  8E, MDM",,,,,
LOS GUILLICOS,#66,SONOMA COUNTY,Sonoma,"4 sq.
  leagues",1837,Alvarado,,John Wilson; Juan Wilson,,1837; 1866,Sonoma Co.,Alvarado,Juan Wilson,,18.833,1866,Juan Wilson,,
HUICHICA,#72,SONOMA COUNTY,SONOMA COUNTY,"2 sq.
   leagues",1841,Pro; Micheltorena,T 4-6N,Jacob P. Leese; Manuel Jimeno,Sonoma,1844; 1859; 1841,,Pro; Micheltorena,,T 4-6N,,,,,
LAC,#69,SONOMA COUNTY,SONOMA COUNTY,,1844,Micheltorena,,Damaso Antonio Rodriguez; Jacob Leese,,1844; 1872,Sonoma Co.,Micheltorena,Jacob Leese,,176,1872,Jacob Leese,,
LAGUNA DE SAN ANTONIO,#30,SONOMA COUNTY,SONOMA COUNTY,6 sq. leagues,1845,Pico,T 4-5N,Bartolome Bojorquez,Sonoma,1871; 1845,,Pico,,T 4-5N,,,,,
LLANO DE SANTA ROSA,#64,SONOMA COUNTY,Sonoma,"3
   sq. leagues",1843; 1843,Micheltorena,T 6-7N,"Martin E. Cook; Jose Altimira; Jose Santos Berrevesa; J. S.
  Alemany; Jose S. Berreyesa; Jose de los Santos
   ; Joaquin Carrillo; Martin Cook",Monterey; Sonoma; Mallacomes; Marcus West,1859; 1823; 1843; 1873; 1865; 1844; 1862,Bishop; Sonoma Co.; Rufus Ingalls; CALIENTE,Micheltorena,Joaquin Carrillo,T 6-7N,13316,1865,Joaquin Carrillo,,
LOS MOLINOS,#53,SONOMA COUNTY,SONOMA COUNTY,,1833,Figueroa,T 7-8N,"John B.
  R. Cooper; John B. R.
  Cooper",,1858; 1833,Sonoma Co.,Figueroa,,T 7-8N,17.872,1858,John B,Rio Ayoska Rancho,
MUNIZ (or Munoz),#26,SONOMA COUNTY,SONOMA COUNTY,,1845,Pico,T 7-8N,Manuel Torres,,1860; 1845,Sonoma Co.,Pico,,T 7-8N,,,,,
PETALUMA,#49,SONOMA COUNTY,SONOMA COUNTY,10 sq. leagues,1844,Figueroa; Micheltorena,T 4-6N,"M. G.
  Vallejo",,1834; 1843; 1844; 1874,Sonoma Co.,Figueroa; Micheltorena,,T 4-6N,66.622,1874,M,,
RINCON DE MUSALACON,#56,SONOMA COUNTY,Sonoma,"2
  sq. leagues",1846,Pico,"T 10-1 IN, R 10W, MDM","Francisco
  Berreyesa; Johnson Horrell",,1846; 1866; 1868,Sonoma Co.,Pico,,"T 10-1 IN, R 10W, MDM",,,,,
ROBLAR DE LA MISERIA,#50,SONOMA COUNTY,Sonoma,"4
  sq. leagues",1845,Pico,"T 4-6N,
  R 7-8W, MDM","Juan
  Nepomuseno Padillo; Daniel Wright; al",,1858; 1845,Sonoma Co.,Pico,,"T 4-6N,
  R 7-8W, MDM",,,,,
SAN MIGUEL (West),#62,SONOMA COUNTY,Sonoma,,,Alvarado; Micheltorena,T 7-8N,"Marcus
  West",Marcus West,1840; 1844; 1865,"Sonoma Co.; Guadalupe Vasquez de
  West",Alvarado; Micheltorena,,T 7-8N,,,,,
SONOMA CITY (Lot in),#71,SONOMA COUNTY,SONOMA COUNTY,,1835,Figueroa,T 5N,"M. G.
  Vallejo",,1835; 1866,Sonoma Co.,Figueroa,,T 5N,3,1866,M,,
SONOMA PUEBLO LANDS,#68,SONOMA COUNTY,SONOMA COUNTY,,,,T 5N,,Sonoma; Rancho Huichica,1835; 1880,Sonoma Co.; Common Council,,,T 5N,,,,,
SOTOYOME,#54,SONOMA COUNTY,SONOMA COUNTY,8 sq. leagues,1841; 1844,Micheltorena,T 8-ION,"Manuel Jimeno; Henry Fitch; Henry D.
  Fitch",,1845; 1844; 1858; 1841,1st Vocal; Sonoma Co.,Micheltorena,,T 8-ION,,,,,
TZABACO,#55,SONOMA COUNTY,Sonoma,4 sq. leagues,,Micheltorena,"T 9-1 ON, R 9-10W, MDM","J. G.
  Pena; Jose German Pena",,1843; 1859,Sonoma Co.,Micheltorena,,"T 9-1 ON, R 9-10W, MDM",15.439.32,1859,heirs of J,,
ORESTIMBA,#105,STANISLAUS COUNTY,STANISLAUS COUNTY,"6
  sq. leagues",1844,Micheltorena,T 6-7S,Sebastian Nunez; Orestimba,Garxas,1844; 1863,Stanislaus,Micheltorena,,T 6-7S,,,,Orestimba y las Garxas,
EL PESCADERO (Grimes),#107,STANISLAUS COUNTY,STANISLAUS COUNTY,8 sq. leagues,1843,Micheltorena,"T 2-
  4S","H. McKee; Francis W. Grimes; Valintin Higuera; Hiram
  Grimes; Rafael Felix",San Joaquin,1843; 1858,Stanislaus,Micheltorena,"Hiram
  Grimes","T 2-
  4S",35.446.06,1858,"Hiram
  Grimes",,
RANCHERIA DEL RIO ESTANISLAO,#102,STANISLAUS COUNTY,STANISLAUS COUNTY,11 sq. leagues,1843,,T IS,"Francisco Rico; Jose Antonio Castro; Jose Antonio
  Castro; Micheltorena",Francisco Rico; Stanislaus River,1843; 1863,Stanislaus,,,T IS,,,,,
RANCHO DEL PUERTO,#106,STANISLAUS COUNTY,Stanislaus,"3
  sq. leagues",1844; 1846,Pico; Micheltorena,"T 5S, R 8E, MDM",Pedro Hernandez; Alfias Basilia Thompson; J. D. Patterson; Sam,San Joaquin River; San Joaquin,1846; 1858; 1865; 1844; 1864,Rancho del Estanislao; Stanislaus Co.; Stanislaus,Pico; Micheltorena,,"T 5S, R 8E, MDM",,,,Rancho del Estanislao,
BOGA,#18,SUTTER COUNTY,SUTTER COUNTY,5 sq. leagues,,Micheltorena,T 16-18N,"Charles William Fliigge; Butte; Thomas O.
  Larkin",,1844; 1862,Fliigge Rancho; Rancho Rio de las Plumas,Micheltorena,,T 16-18N,22.184.66,1862,Thomas O,Rancho Rio de las Plumas,
NEW HELVETIA,#20,SUTTER COUNTY,SUTTER COUNTY,11 sq. leagues,1841,Alvarado,"T 8-9N and 12-15N, R 3-5E",Yuba; John A. Sutter,Sacramento,1866; 1841,,Alvarado,,"T 8-9N and 12-15N, R 3-5E",,,,Sutter�s Grant,
LA BARRANCA COLORADA,#3,TEHAMA COUNTY,TEHAMA COUNTY,4 sq. leagues,1844,Micheltorena,"T 26-27N, R 2-4W, MDM",Josiah Beldon; J. M. Ide,,1860; 1844,Tehama Co. Grant,Micheltorena,,"T 26-27N, R 2-4W, MDM",,,,,
BOSQUEJO,#7,TEHAMA COUNTY,TEHAMA COUNTY,"5 sq.
   leagues",1844,Micheltorena,T 22-24N,"Tehama; Peter
   Lassen",,1844; 1862,,Micheltorena,"Peter
   Lassen",T 22-24N,22.206.27,1862,"Peter
   Lassen",,
CAPAY,#8,TEHAMA COUNTY,TEHAMA COUNTY,10 sq. leagues,1844,Micheltorena,,Josefa Soto; Glenn,,1844; 1859,,Micheltorena,Josefa Soto,,44.388.17,1859,Josefa Soto,,
LAS FLORES,#4,TEHAMA COUNTY,TEHAMA COUNTY,3 sq. leagues,1844; 1844,Micheltorena,"T 25-26N, R 2-4W, MDM",G. Chard; Francisco Dye,EL PRIMER,1871; 1844; 1859,Tehama Co.; RIO DE; Tehama Co. Grant; BERRENDOS,Micheltorena,,"T 25-26N, R 2-4W, MDM",13315.58,1859,Wm,,
RIO DE LOS MOLINOS,#6,TEHAMA COUNTY,Tehama,"5 sq.
   leagues",1844,Micheltorena,T 23-26N,"Albert G. Toomes; Albert G.
  Toomes",,1844; 1856,Sacramento River; Tehama Co. Grant,Micheltorena,,T 23-26N,,,,,
SAN BUENAVENTURA,#1,TEHAMA COUNTY,TEHAMA COUNTY,,1844,Micheltorena,T 30-32N,"Grant
  ; Shasta; Pearson B. Reading; Tehama; Lodo Creek",Sanyes Island,1844; 1857,,Micheltorena,,T 30-32N,,,,,
SAUCOS,#5,TEHAMA COUNTY,TEHAMA COUNTY,5 sq. leagues,,Micheltorena,"T 25N, R 2-3W, MDM",Robert H. Thornes; Elden Creek; Robert II,,1844; 1857,"El Camino
  Colony; Finnell Rancho; Tehama Co. Grant",Micheltorena,,"T 25N, R 2-3W, MDM",,,,"El Camino
  Colony, and as Finnell Rancho",
CALLEGUAS,#407,VENTURA COUNTY,VENTURA COUNTY,,,Alvarado,"T 2N, R
  19-20W",Jose Pedro Ruiz; Gabriel Ruiz,,1837; 1866,Ventura Co. Grant,Alvarado,,"T 2N, R
  19-20W",,,,,
CANADA DE SAN MIGUELITO,#391,VENTURA COUNTY,Ventura,2 sq. leagues,1846; 1841,Pico; Alvarado,"T 3N, R 23-
  24W","Grant
  ; Juana Tico de Rodriguez et al",Canada,1871; 1846; 1873; 1841,VERDE; Ventura Co.; CANADA LARGA,Pico; Alvarado,,"T 3N, R 23-
  24W",,,,"Canada de San Miguel y
  Canada del Diablo",
EL CONEJO,#408,VENTURA COUNTY,VENTURA COUNTY,,1802,de; Arrillaga; Figueroa,"T 1-2N, R 19-20W, SBM","Alvarado; Jose Polanco; Altagracia; Ignacio
  Rodriguez; Noriega",Ventura; Los Angeles,1822; 1873; 1835; 1839; 1802-03,,de; Arrillaga; Figueroa,,"T 1-2N, R 19-20W, SBM",,,,,
GUADALASCA,#406,VENTURA COUNTY,VENTURA COUNTY,6 sq. leagues,1836; 1846; 1845,Pico; Gutierrez,"T IN
  IS, R 20-21W",Fernando Tico; Jose Arnaz,Monterey,1846; 1866; 1874; 1873; 1845; 1782; 1862; 1836,"Ventura Co. Grant; J. S. Alemany; Isabel Yorba; I. Yorba; San Buenaventura Mission Estate; Ventura
  Co.; Bishop; MISION SAN BUENAVENTURA; Ventura Co. Mission",Pico; Gutierrez,,"T IN
  IS, R 20-21W",,,,,
OJAI,#389,VENTURA COUNTY,Ventura,4 sq. leagues,,Alvarado,,Fernando Tico; Fernando Tied,,1837; 1870,Ventura Co. Grant,Alvarado,,,,,,,
LAS POSAS,#401,VENTURA COUNTY,Ventura,6 sq. leagues,1834,Figueroa,T 2-3N,Jose de la Guerra; Jose Carrillo; Noriega,,1834; 1870,Ventura Co. Grant,Figueroa,,T 2-3N,,,,,
EL RINCON (Arellanes),#387,VENTURA COUNTY,VENTURA COUNTY,1 sq. league,1835,Castro,"T 4N, R 24-25W, SBM",Teodoro Arellanes,Santa Barbara; Ventura,1835; 1872,Teodoro Arellanes,Castro,,"T 4N, R 24-25W, SBM",,,,,
RIO DE SANTA CLARA,#403,VENTURA COUNTY,Ventura,,1837,Alvarado,T 1-2N,Valentine; Leandro Gonzales; Valentin Cota,,1837; 1872,Ventura Co. Grant,Alvarado,Valentine,T 1-2N,44.883.30,1872,"Valentine
   Cota et al",,
SAN FRANCISCO,#399,VENTURA COUNTY,VENTURA COUNTY,8 sq. leagues,1839,Alvarado,T 4N,Jacoba Feliz et al; Antonio del Valle; Camulos,Ventura; Los Angeles,1875; 1839,,Alvarado,,T 4N,,,,Camulos,
SAN MIGUEL (Olivas and Lorenzana),#394,VENTURA COUNTY,VENTURA COUNTY,,1841,Micheltorena,T 2N,,Lorenzana; Micheltorena,1873; 1841,Grant of I'A sq.; Olivas; Ventura Co.,Micheltorena,,T 2N,,,,,
SANTA ANA,#388,VENTURA COUNTY,VENTURA COUNTY,,,Alvarado,T 3-4N,Crisogono Ayala; Cosme Vanegas,Vanegas,1837; 1870,Cosme; Ventura Co. Grant,Alvarado,,T 3-4N,,,,,
SANTA CLARA DEL NORTE,#402,VENTURA COUNTY,VENTURA COUNTY,,1837,Alvarado,T 2N,"Juan
   Sanchez; Juan Sanchez",La Colonia,1837; 1869,Ventura Co. Grant,Alvarado,,T 2N,,,,La Colonia,
SANTA PAULA V SATICOY,#395,VENTURA COUNTY,Ventura,4 sq. leagues,,Alvarado; Micheltorena,"T 2-3N, R 21-22W, SBM, on
   right bank of Santa Clara River",James P. Davidson; Manuel Jimeno,Santa Clara River,1840; 1843; 21-22W; 1872,Ventura Co. Grant,Alvarado; Micheltorena,,"T 2-3N, R 21-22W, SBM, on
   right bank of Santa Clara River",,,,,
SESPE,#397,VENTURA COUNTY,VENTURA COUNTY,,1833,Figueroa,,Antonio de Jesus Carrillo; T. W.; Carlos,San Cayetano,20W; 1872; 1833,Ventura Co. Grant,Figueroa,,,,,,,
SIMI,#400,VENTURA COUNTY,VENTURA COUNTY,"14 sq.
  leagues",,Alvarado; Borica,T 2-3N,"Patricio; Francisco Javier
  Pico; Francisco Javier Pico; de Sola; Manuel; Noriega; J. de la Guerra; Jose de la
  Guerra",San Jose de; Ventura; Los Angeles,1822; 1795; 1842; 1865,,Alvarado; Borica,,T 2-3N,,,,"San Jose de Gracia de Simi, and as
  Tapo Rancho",
TEMESCAL,#398,VENTURA COUNTY,VENTURA COUNTY,"3
  sq. leagues",1843,Micheltorena,T 4-5N,"Ramon de la Cuesta; Jose Arellanes; Francisco
  Gonzales Camino; Francisco Lopez",Ventura; Los Angeles,1871; 1843,,Micheltorena,,T 4-5N,,,,,
CANADA DE CAPAY,#34,YOLO COUNTY,YOLO COUNTY,"9 sq.
  leagues",1846,Pico,T 10-12N,"Francisco
  Berreyesa; Santiago Berreyesa; Jasper OTarrell el al; Demesia",,1865; 1846,Nemesia; Yolo Co.,Pico,,T 10-12N,,,,,
GUESISOSI,#85,YOLO COUNTY,YOLO COUNTY,2 sq. leagues,,Micheltorena,,Gordon; William Gordon,,1860; 1843,Yolo Co.,Micheltorena,,,,,,"Gordon's
  Ranch",
JIMENO,#22,YOLO COUNTY,YOLO COUNTY,11 sq. leagues,1844,Micheltorena,T 11-17N,"Manuel Jimeno
  ; John S. Missroom; Thomas O. Larkin",,1844; 1862,Colusa,Micheltorena,,T 11-17N,,,,,
RIO DE LOS PUTOS,#87,YOLO COUNTY,YOLO COUNTY,"4
  sq. leagues",,Alvarado,"T 8N, R
  1W-1E, MDM, along both sides of present Putah Creek","William Wolfskill; William
  Wolfskill; Francisco Guerrero; Yolo",Putah Creek,1842; 1858; 1841; 1839,,Alvarado,,"T 8N, R
  1W-1E, MDM, along both sides of present Putah Creek",,,,,
RIO JESUS MARIA,#86,YOLO COUNTY,Yolo,6 sq. leagues,1843,Micheltorena,T ION,"Tomas Hardy; James H.
Harbin el al; Harbin Grant",,1843; 1858,Yolo Co.,Micheltorena,,T ION,26637.42,1858,James H,Harbin Grant,
HONCUT,#19,YUBA COUNTY,YUBA COUNTY,7 sq. leagues,1844; 1844,Micheltorena,"T 16-
   17N, R3-5E, MDM",Foster; JOHNSON; Michael C. Nve; Chas; Yuba; Johnson; Theodore Cordua; Butte,,1844; 1857; 1863,Yuba Co.; Gutierrez Rancho; Covilland,Micheltorena,Chas,"T 16-
   17N, R3-5E, MDM",31.079.96,1863,Chas,,
